# 舊版 135 題手工題庫的部首答案，當作 build_questions.py 的回歸測試基準
# 欄位：生字	可接受的部首寫法（｜分隔）。多寫幾個是因為同一個部首有不只一種寫法，
# 產生器一律用正體（言／食／竹），手工題庫當年寫的是偏旁體（訁／飠／⺮）。
湖	氵
花	艹
河	氵
海	氵
洗	氵
游	氵
清	氵
沙	氵
草	艹
茶	艹
菜	艹
樹	木
林	木
校	木
果	木
桌	木
椅	木
橋	木
眼	目
看	目
睡	目
說	訁|言
話	訁|言
讀	訁|言
語	訁|言
謝	訁|言
跑	足|𧾷
跳	足|𧾷
路	足|𧾷
踢	足|𧾷
吃	口
唱	口
叫	口
吹	口
喝	口
哭	口
手	手
打	扌
拉	扌
抱	扌
拍	扌
提	扌
指	扌
心	心
想	心
忘	心
快	忄
怕	忄
飯	飠|食
餓	飠|食
蟲	虫
蜂	虫
蝴	虫
鳥	鳥
鴨	鳥
鵝	鳥
魚	魚
狗	犭
猴	犭
馬	馬
騎	馬
車	車
門	門
開	門
關	門
雨	雨
雪	雨
電	雨
雲	雨
日	日
明	日
星	日
時	日
春	日
月	月
朋	月
火	火
燈	火
熱	灬
土	土
地	土
坐	土
石	石
女	女
媽	女
好	女
學	子
孩	子
你	亻
住	亻
休	亻
力	力
動	力
分	刀
紅	糸|糹
紙	糸|糹
筆	⺮|竹
笑	⺮|竹
錢	金
頭	頁
教	攵|攴
歌	欠
送	辶
遠	辶
很	彳
影	彡
船	舟
窗	穴
站	立
帽	巾
願	頁
藥	艹
靜	青|靑
難	隹
醫	酉
舞	舛
鄉	阝
島	山
熊	灬
聽	耳
買	貝
畫	田
幫	巾
都	阝
陽	阝
節	⺮|竹
算	⺮|竹
病	疒
痛	疒
知	矢
秋	禾
種	禾
美	羊|𦍌
者	老|耂
幸	干
