# 來源：Unihan kRSUnicode（unicode.org）+ CHISE/cjkvi IDS 拆字表
# 由 scripts/distill_sources.py 產生
# 欄位：生字	看得見的部首寫法（空白＝部首在字裡看不出來，不出題）	康熙部首號	其他部件
一	一	1	
二	二	7	
三	一	1	二
四	囗	31	儿丿乚
五		7	一
六	八	12	亠丶一
七		1	乚
八	八	12	
九		5	九
十	十	24	
日	日	72	
月	月	74	
山	山	46	
木	木	75	
水	水	85	
人	人	9	
手	手	64	
門	門	169	
小	小	42	
上	一	1	卜
走	走	156	
左	工	48	
右	口	30	
向	口	30	丿冂
魚	魚	195	
也		5	也
來	人	9	木从
加	力	19	口丿
船	舟	137	儿口丿乚
前	刂	18	刖丷一月
油	氵	85	由
開	門	169	开一廾
出	凵	17	屮丨
招	扌	64	召刀口
車	車	159	
子	子	39	
地	土	32	也十一
花	艹	140	化十亻匕
朵	木	75	几
在	土	32	十一
笑	竹	118	夭亇丿大
印	卩	26	
張	弓	57	長一
臉	月	130	僉亼吅从
泡	氵	85	包勹巳
玩	王	96	元一土兀
大	大	37	
起	走	156	己土龰
好	女	38	子
多	夕	36	丶
我		62	我
的	白	106	勺勹丶
你	亻	9	尔小
抱	扌	64	包勹巳
吹	口	30	欠
家	宀	40	豕一
像	亻	9	象
爸	父	88	巴八乂
到	刂	18	至土
青	青	174	
叫	口	30	丩
下	一	1	卜
那	阝	163	刀二丿一
和	口	30	禾丿木
要	襾	146	女一
他	亻	9	也
朋	月	74	
友	又	29	
跟	足	157	艮口止
頭	頁	181	豆
想	心	61	相木目
做	亻	9	故古攵
外	夕	36	卜丶
住	亻	9	主亠土
個	亻	9	固囗古
們	亻	9	門
這	辶	162	言
裡	衤	145	里一
有	月	74	
沒	氵	85	勹又
是	日	72	一龰
什	亻	9	十
麼	麻	200	幺广丶
星	日	72	生
哪	口	30	那阝
球	王	96	求一土丶
河	氵	85	可丁口
流	氵	85	
金	金	167	
說	言	149	兌八兄
句	口	30	勹
話	言	149	舌干口
兩	入	11	一巾
都	阝	163	者耂日
悄	忄	61	肖小月
尾	尸	44	毛丿
巴		49	巴
滿	氵	85	廿
紅	糸	120	工幺
吐	口	30	土十一
缸	缶	121	工
搖	扌	64	缶
春	日	72	三人
貼	貝	154	占目八卜口
呢	口	30	尼尸匕
了	亅	6	乛
請	言	149	青龶月
天	大	37	一人
把	扌	64	巴
不	一	1	
房	戶	63	方丿尸亠
福	礻	113	畐田
為		86	為
幸	干	51	土十一丷
太	大	37	丶一人
充	儿	10	一厶丿乚
電	雨	173	日乚一
雨	雨	173	
過	辶	162	咼冎口
後	彳	60	幺夊丶
冬	冫	15	夂
土	土	32	
草	艹	140	早十日
冒	冂	13	冃目二
哭	口	30	吅犬
心	心	61	
陽	阝	170	昜旦勿
機	木	75	幾人
顏	頁	181	彥文
色	色	139	
細	糸	120	田幺
著	艹	140	者十耂日
問	口	30	門
鳥	鳥	196	
綠	糸	120	彔幺彑氺
看	目	109	龵
藍	艹	140	監十皿
空	穴	116	工宀八
媽	女	38	馬灬
彩	彡	59	采爫木
中	丨	2	口
虹	虫	142	工
蜻	虫	142	青龶月
蜓	虫	142	廷廴
音	音	180	
樂	木	75	幺白丶
會		73	亼人一日
坡	土	32	皮十一
忙	忄	61	亡亠
布	巾	50	
場	土	32	昜十一旦勿
入	入	11	
口	口	30	
林	木	75	
間	門	169	日
風	風	182	
跑	足	157	包口止勹巳
置	罒	122	直十
書		73	日一肀
打	扌	64	丁一亅
跳	足	157	兆口止
陪	阝	170	咅立口
去	厶	28	土十一
險	阝	170	僉亼吅从
海	氵	85	每母
找	扌	64	戈弋丿
歡	欠	76	雚
神	礻	113	申
奇	大	37	可一人丁口
猜	犭	94	青龶月
次	欠	76	二一
誰	言	149	隹
恐	心	61	巩工卂
龍	龍	212	
豚	豕	152	月一
喜	口	30	壴十豆
帶	巾	50	冖
氣	气	84	米一乁
始	女	38	台厶口
突	穴	116	犬宀八
然	灬	86	犬
