# 來源：教育部「各版本國小生字表」統整工作表（4f0bc01a-115_114________________20260723.xlsx）
# 由 scripts/distill_sources.py 產生
# 欄位：生字	年級	常見程度(1-6，6最常見)	同音旁字	字首雙字詞(教育部辭典)	字尾雙字詞(教育部辭典)
一	1	6		一起,一樣,一定,一直,一些,一點	第一,唯一,一一,萬一,單一,不一
二	1	6	仁	二手,二專,二哥,二胡,二等,二世	小二,一二,不二,三二
三	1	6	仨	三峽,三角,三振,三重,三國,三五	再三
四	1	6	泗駟	四月,四處,四周,四肢,四面,四維	核四,二四
五	1	6	伍吾	五百,五官,五專,五常,五彩,五股	三五,九五
六	1	6		六月,六龜,六輕,六朝,六甲,六合	三六,四六
七	1	6	柒	七月,七八,七夕,七色,七律,七七	三七,四七,七七,五七,初七,頭七
八	1	6	趴叭扒	八成,八里,八卦,八仙,八哥,八字	七八,三八,二八,王八,臘八,尺八
九	1	6	究染軌仇旭鳩馗犰	九成,九日,九州,九百,九九,九份	九九,八九,牌九
十	1	6	什計針汁	十分,十足,十字,十全,十國,十方	合十,雙十,百十
日	1	6	間汨	日本,日前,日子,日常,日記,日期	假日,生日,一日,平日,即日,近日
月	1	6	閒	月亮,月球,月光,月餅,月考,月臺	七月,六月,四月,一月,歲月,滿月
山	1	6	仙訕汕舢疝氙	山區,山林,山頂,山坡,山羊,山谷	火山,高山,登山,玉山,下山,爬山
木	1	6	呆沐閑	木頭,木板,木工,木雕,木材,木瓜	樹木,積木,檜木,神木,灌木,土木
水	1	6	冰尿淼	水果,水分,水面,水庫,水準,水彩	海水,淡水,雨水,淚水,口水,薪水
人	1	6	閃	人類,人生,人員,人物,人們,人數	別人,家人,個人,他人,大人,老人
手	1	6		手機,手指,手法,手臂,手術,手工	選手,動手,雙手,對手,高手,投手
門	1	6	們悶燜捫	門口,門檻,門票,門診,門窗,門市	出門,熱門,金門,大門,專門,部門
小	1	6		小學,小時,小孩,小說,小小,小心	國小,小小,從小,大小,縮小,附小
上	1	6		上課,上學,上面,上網,上臺,上班	加上,以上,晚上,馬上,早上,遇上
走	1	6	徒陡	走進,走路,走向,走廊,走訪,走走	行走,帶走,走走,趕走,出走,逃走
左	1	6	佐	左右,左手,左邊,左營,左側,左派	相左
右	1	6	佑祐	右手,右邊,右側,右派,右翼,右轉	左右
向	1	6	餉晌	向來,向學,向著,向善,向量,向背	方向,走向,正向,面向,導向,一向
魚	1	6	漁	魚類,魚兒,魚缸,魚肉,魚群,魚蝦	鱷魚,鯊魚,鯨魚,釣魚,金魚,飛魚
也	1	6	他地她牠池馳吔祂	也許,也好,也罷	
來	1	6	萊睞徠淶	來自,來源,來臨,來信,來襲,來回	未來,原來,後來,起來,帶來,回來
加	1	6	嘉架咖駕茄賀伽珈	加上,加入,加強,加油,加以,加速	參加,增加,更加,添加,外加,附加
船	1	5	船沿鉛	船隻,船長,船夫,船身,船舶,船員	漁船,帆船,划船,搭船,輪船,飛船
前	1	6	剪箭煎湔翦	前往,前進,前面,前後,前方,前來	目前,日前,以前,之前,眼前,面前
油	1	6	油抽袖宙笛軸迪柚	油脂,油漆,油畫,油炸,油價,油膩	加油,石油,奶油,醬油,精油,汽油
開	1	6	開形研荊刑妍邢	開始,開心,開放,開學,開發,開啟	離開,打開,展開,公開,召開,張開
出	1	6	屈茁拙祟咄黜絀	出現,出來,出版,出生,出發,出門	指出,提出,刊出,演出,推出,發出
